City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,port alfred,-33.5906,26.891,23.43,89,100,0.89,ZA,1675547498
84,cabo san lucas,22.8909,-109.9124,26.45,47,23,0.89,MX,1675547864
85,esperance,-33.8667,121.9,17.63,69,0,6.27,AU,1675547496
86,port elizabeth,-33.918,25.5701,24.1,62,100,0.65,ZA,1675547490
87,ramsar,36.9226,50.6426,8.69,61,0,1.03,IR,1675547865
88,shangrao,28.4532,117.9686,6.55,96,100,1.59,CN,1675547865
89,seoul,37.5683,126.9778,-3.31,93,20,1.54,KR,1675547604
90,iwanai,42.9744,140.5089,-3.15,72,100,5.12,JP,1675547866
91,florianopolis,-27.6146,-48.5012,23.12,80,75,4.12,BR,1675547866
92,belaya gora,68.5333,146.4167,-37.72,100,98,1.79,RU,1675546975
93,george town,5.4112,100.3354,25.96,88,20,3.6,MY,1675547821
94,taltal,-25.4,-70.4833,22.39,74,42,1.67,CL,1675547420
95,jamestown,42.097,-79.2353,-3.03,32,0,6.17,US,1675547533
96,kony,47.6305,17.3572,-0.52,66,16,7.4,HU,1675547867
97,bredasdorp,-34.5322,20.0403,20.93,81,0,3.64,ZA,1675547629
98,katangli,51.7102,143.2326,-25.89,98,22,4.0,RU,1675547868
99,puerto leguizamo,-0.1934,-74.7819,25.43,81,86,1.4,CO,1675547869
100,la rioja,42.25,-2.5,0.88,85,0,2.34,ES,1675547869
101,dickinson,29.4608,-95.0513,18.96,69,40,5.14,US,1675547686
102,kaitangata,-46.2817,169.8464,21.32,70,100,1.93,NZ,1675547671
103,shancheng,34.7953,116.0817,0.66,69,0,3.12,CN,1675547870
104,najran,17.4924,44.1277,17.36,50,48,1.18,SA,1675547204
105,fortuna,40.5982,-124.1573,17.42,61,75,7.72,US,1675547671
106,provideniya,64.3833,-173.3,-19.58,88,100,4.87,RU,1675547710
107,new norfolk,-42.7826,147.0587,17.06,63,13,0.89,AU,1675547637
108,mayo,38.8876,-76.5119,0.09,45,0,4.63,US,1675547871
109,geraldton,-28.7667,114.6,21.23,94,75,3.09,AU,1675547725
110,ilulissat,69.2167,-51.1,-26.13,93,85,3.55,GL,1675547872
111,thessalon,46.2501,-83.5666,-1.84,93,100,6.05,CA,1675547872
112,christchurch,-43.5333,172.6333,28.11,49,98,9.26,NZ,1675547873
113,tondela,40.5167,-8.0833,6.43,60,0,3.2,PT,1675547873
114,zhangye,38.9342,100.4517,-4.08,48,6,0.9,CN,1675547874
115,komsomolskiy,40.4272,71.7189,4.4,87,100,3.09,UZ,1675547874
116,souillac,-20.5167,57.5167,26.21,89,40,2.06,MU,1675547679
117,lasa,46.6166,10.7002,2.49,80,36,4.04,IT,1675547732
118,oussouye,12.485,-16.5469,25.1,47,37,4.0,SN,1675547875
119,hofn,64.2539,-15.2082,0.47,60,52,3.32,IS,1675547876
120,ribeira grande,38.5167,-28.7,17.1,94,20,5.36,PT,1675547557
121,tiksi,71.6872,128.8694,-27.72,100,100,1.65,RU,1675547876
122,georgetown,5.4112,100.3354,25.96,88,20,3.6,MY,1675547381
123,codrington,-38.2667,141.9667,15.15,78,100,2.61,AU,1675547568
124,saint-pierre,-21.3393,55.4781,25.82,83,75,2.06,RE,1675547877
125,padang,-0.9492,100.3543,24.03,86,100,1.35,ID,1675547728
126,terney,45.0503,136.6092,-12.76,79,90,2.84,RU,1675547878
127,constitucion,-35.3333,-72.4167,19.0,78,29,2.19,CL,1675547735
128,belmonte,-15.8631,-38.8828,26.68,80,2,4.78,BR,1675547878
129,ystad,55.4297,13.8204,-5.59,55,9,1.54,SE,1675547879
130,bontang,0.1333,117.5,24.76,88,100,2.08,ID,1675547879
131,monterey,36.2505,-121.2516,16.06,75,100,3.87,US,1675547765
132,nehe,48.4833,124.8333,-23.88,99,67,2.72,CN,1675547880
133,aklavik,68.2191,-135.0107,-36.0,68,20,1.03,CA,1675547880
134,airai,-8.9266,125.4092,15.75,90,99,1.01,TL,1675547626
135,myronivka,49.6601,30.9823,-4.93,80,100,4.83,UA,1675547881
136,muros,42.7762,-9.0603,9.35,82,1,3.96,ES,1675547881
137,jumla,29.2747,82.1838,2.59,42,0,2.0,NP,1675547882
138,gedo,9.0167,37.45,11.76,43,15,1.67,ET,1675547882
139,tasiilaq,65.6145,-37.6368,-3.91,82,100,8.6,GL,1675547741
140,pecsvarad,46.1603,18.4232,-1.12,61,0,7.89,HU,1675547883
141,rivera,-30.9053,-55.5508,26.13,27,0,4.25,UY,1675547883
142,mafeteng,-29.823,27.2374,18.06,47,32,1.97,LS,1675547884
143,badulla,6.9895,81.0557,20.31,98,90,2.29,LK,1675547884
144,east london,-33.0153,27.9116,23.7,83,100,5.29,ZA,1675547486
145,kavali,14.9167,79.9833,20.83,82,4,1.72,IN,1675547885
146,victoria,22.2855,114.1577,18.3,86,100,4.02,HK,1675547726
147,srednekolymsk,67.45,153.6833,-35.85,100,100,1.38,RU,1675547885
148,timra,62.486999999999995,17.3257,-17.18,85,88,1.54,SE,1675547886
149,millau,44.0833,2.9167,8.07,97,19,2.41,FR,1675547886
150,kattivakkam,13.2167,80.3167,25.05,72,4,1.01,IN,1675547887
151,vestmanna,62.1564,-7.1664,3.51,75,75,11.32,FO,1675547887
152,honningsvag,70.9821,25.9704,-2.14,74,67,8.75,NO,1675547888
153,sambava,-14.2667,50.1667,24.27,91,69,3.67,MG,1675547888
154,marrakesh,31.6315,-8.0083,12.04,35,40,3.09,MA,1675547708
155,nouakchott,18.0858,-15.9785,18.96,27,100,4.43,MR,1675547889
156,cape town,-33.9258,18.4232,21.6,88,40,2.57,ZA,1675547636
157,bairiki,1.3292,172.9752,29.0,79,40,4.63,KI,1675547432
158,chokurdakh,70.6333,147.9167,-30.92,97,75,3.61,RU,1675547523
159,barrow,71.2906,-156.7887,-30.99,76,20,3.6,US,1675547877
160,severo-kurilsk,50.6789,156.125,-3.09,73,100,2.71,RU,1675547526
161,ormara,25.2088,64.6357,21.44,80,0,4.99,PK,1675547890
162,san antonio,29.4241,-98.4936,17.86,59,75,5.14,US,1675547386
163,alyangula,-13.8483,136.4192,27.23,59,95,1.13,AU,1675547891
164,banda aceh,5.5577,95.3222,24.79,86,88,2.55,ID,1675547891
165,acarau,-2.8856,-40.12,26.43,81,48,7.19,BR,1675547892
166,dalbandin,28.8947,64.4101,15.76,49,0,1.55,PK,1675547892
167,bella union,-30.2752,-57.6007,29.89,20,0,4.38,UY,1675547892
168,solnechnyy,50.7214,136.6319,-25.35,98,99,0.93,RU,1675547893
169,rostovka,55.3842,71.8891,-20.18,100,100,1.33,RU,1675547893
170,upernavik,72.7868,-56.1549,-21.41,96,100,2.19,GL,1675547485
171,north bend,43.4065,-124.2243,13.95,72,75,3.09,US,1675547894
172,kodinsk,58.6881,99.1844,-14.18,98,99,1.14,RU,1675547894
173,auki,-8.7676,160.7034,27.54,84,100,2.64,SB,1675547450
174,vao,-22.6667,167.4833,26.32,87,90,8.85,NC,1675547895
175,mangan,27.5167,88.5333,14.58,70,98,1.1,IN,1675547895
176,shingu,33.7333,135.9833,1.78,78,12,3.05,JP,1675547483
177,mumbwa,-14.9783,27.0619,18.23,95,100,1.64,ZM,1675547896
178,ancud,-41.8697,-73.8203,20.12,68,53,1.92,CL,1675547686
179,wanning,18.8003,110.3967,22.22,92,100,3.17,CN,1675547801
180,bauta,22.9828,-82.5464,26.66,65,62,7.03,CU,1675547897
181,mogwase,-25.185,27.2665,19.62,82,10,2.13,ZA,1675547897
182,kieta,-6.2167,155.6333,26.45,83,99,1.31,PG,1675547898
183,aracatuba,-21.2089,-50.4328,30.1,54,40,3.09,BR,1675547898
184,bathsheba,13.2167,-59.5167,27.34,74,75,9.26,BB,1675547859
185,iwaki,37.05,140.8833,1.34,71,5,3.93,JP,1675547899
186,novyy urengoy,66.0833,76.6333,-10.59,96,100,2.88,RU,1675547802
187,severnyy,50.677,36.5532,-3.98,92,100,2.0,RU,1675547899
188,katherine,-14.4667,132.2667,23.18,94,37,0.0,AU,1675547900
189,sitka,57.0531,-135.33,1.94,93,100,1.54,US,1675547654
190,quatre cocos,-20.2078,57.7625,26.06,85,71,4.05,MU,1675547777
191,hermanus,-34.4187,19.2345,21.0,92,23,3.01,ZA,1675547900
192,noumea,-22.2763,166.4572,30.99,99,76,5.68,NC,1675547826
193,naziya,59.8,31.3833,-4.2,1,83,3.2,RU,1675547901
194,khatanga,71.9667,102.5,-38.92,100,52,2.17,RU,1675547538
195,naze,28.3667,129.4833,13.51,67,99,4.77,JP,1675547755
196,mahebourg,-20.4081,57.7,26.16,89,40,2.06,MU,1675547529
197,humaita,-7.5061,-63.0208,26.05,86,76,0.61,BR,1675547902
198,luganville,-15.5333,167.1667,27.35,87,100,5.91,VU,1675547902
199,repatriacion,-25.5333,-55.95,26.77,44,80,1.24,PY,1675547903
200,ahipara,-35.1667,173.1667,22.01,75,100,4.36,NZ,1675547903
201,inhambane,-23.865,35.3833,24.36,86,9,3.79,MZ,1675547904
202,gualeguay,-33.1416,-59.3097,29.45,22,0,4.31,AR,1675547904
203,ondjiva,-17.0667,15.7333,20.93,53,100,2.33,AO,1675547905
204,quelimane,-17.8786,36.8883,25.97,94,20,1.03,MZ,1675547905
205,port hardy,50.6996,-127.4199,8.1,93,75,10.29,CA,1675547610
206,ostrovnoy,68.0531,39.5131,-10.53,85,100,5.51,RU,1675547738
207,butaritari,3.0707,172.7902,27.38,80,56,8.62,KI,1675547739
208,san patricio,28.017,-97.5169,21.4,56,40,4.59,US,1675547508
209,carnarvon,-24.8667,113.6333,25.62,71,1,2.06,AU,1675547682
210,troitsko-pechorsk,62.7084,56.1964,-20.32,100,97,1.11,RU,1675547907
211,ambon,-3.6954,128.1814,25.08,94,40,2.06,ID,1675547907
212,yepocapa,14.5042,-90.9569,23.56,44,18,0.83,GT,1675547908
213,tiznit,29.5833,-9.5,10.51,45,6,1.07,MA,1675547908
214,batagay-alyta,67.8006,130.4114,-35.89,94,98,1.03,RU,1675547908
215,ayan,56.45,138.1667,-23.04,88,87,2.34,RU,1675547909
216,nanortalik,60.1432,-45.2371,-3.53,74,99,7.48,GL,1675547749
217,manzanillo,20.3433,-77.1167,28.36,54,65,1.82,CU,1675547910
218,bambous virieux,-20.3428,57.7575,26.14,89,40,2.06,MU,1675547524
219,yantal,56.8471,105.2542,-17.0,99,97,1.53,RU,1675547910
220,lagoa,39.05,-27.9833,15.07,88,3,8.31,PT,1675547641
221,opuwo,-18.0607,13.84,22.16,33,85,1.59,,1675547911
222,nuevo progreso,23.1667,-97.95,22.16,43,2,0.89,MX,1675547912
223,patnos,39.2336,42.8634,-7.52,96,100,0.93,TR,1675547912
